service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2,0,0,0,0,0,1,0,20200823,20201128
3,0,0,0,0,0,0,1,20200823,20201128
4,1,1,1,1,1,0,0,20200823,20201128
16,0,0,0,0,0,0,0,20200823,20201128
371804,0,0,0,0,0,0,0,20200823,20201128
13304,0,0,0,0,0,0,0,20200823,20201128
150804,0,0,0,0,0,0,0,20200823,20201128
372104,0,0,0,0,0,0,0,20200823,20201128
372004,0,0,0,0,0,0,0,20200823,20201128
123704,0,0,0,0,0,0,0,20200823,20201128
1004,0,0,0,0,0,0,0,20200823,20201128
