service_id,date,exception_type
13304,20200824,1
150804,20200824,1
13304,20200825,1
13304,20200826,1
150804,20200826,1
13304,20200827,1
371804,20200828,1
13304,20200828,1
150804,20200828,1
13304,20200831,1
150804,20200831,1
13304,20200901,1
13304,20200902,1
150804,20200902,1
13304,20200903,1
371804,20200904,1
13304,20200904,1
150804,20200904,1
16,20200907,1
4,20200907,2
13304,20200908,1
13304,20200909,1
150804,20200909,1
13304,20200910,1
371804,20200911,1
13304,20200911,1
150804,20200911,1
13304,20200914,1
150804,20200914,1
13304,20200915,1
13304,20200916,1
150804,20200916,1
13304,20200917,1
371804,20200918,1
13304,20200918,1
150804,20200918,1
13304,20200921,1
150804,20200921,1
13304,20200922,1
13304,20200923,1
150804,20200923,1
13304,20200924,1
371804,20200925,1
13304,20200925,1
150804,20200925,1
13304,20200928,1
150804,20200928,1
13304,20200929,1
13304,20200930,1
150804,20200930,1
13304,20201001,1
371804,20201002,1
13304,20201002,1
150804,20201002,1
13304,20201005,1
150804,20201005,1
13304,20201006,1
13304,20201007,1
150804,20201007,1
13304,20201008,1
371804,20201009,1
13304,20201009,1
150804,20201009,1
13304,20201012,1
150804,20201012,1
13304,20201013,1
13304,20201014,1
150804,20201014,1
13304,20201015,1
371804,20201016,1
13304,20201019,1
150804,20201019,1
13304,20201020,1
13304,20201021,1
150804,20201021,1
13304,20201022,1
371804,20201023,1
13304,20201023,1
150804,20201023,1
13304,20201026,1
150804,20201026,1
13304,20201027,1
13304,20201028,1
150804,20201028,1
13304,20201029,1
371804,20201030,1
13304,20201030,1
150804,20201030,1
13304,20201102,1
150804,20201102,1
13304,20201103,1
13304,20201104,1
150804,20201104,1
13304,20201105,1
371804,20201106,1
13304,20201106,1
150804,20201106,1
13304,20201109,1
150804,20201109,1
13304,20201110,1
13304,20201111,1
150804,20201111,1
13304,20201112,1
371804,20201113,1
13304,20201113,1
150804,20201113,1
13304,20201116,1
150804,20201116,1
13304,20201117,1
13304,20201118,1
150804,20201118,1
13304,20201119,1
371804,20201120,1
13304,20201120,1
150804,20201120,1
13304,20201123,1
150804,20201123,1
13304,20201124,1
13304,20201125,1
150804,20201125,1
17,20201126,1
4,20201126,2
12,20201127,1
4,20201127,2
