route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
27614,2,4392546,Murray North Station,,0,1072849,198666,1,1
27614,2,4392563,Murray North Station,,0,1072850,198666,1,1
27614,2,4392567,Murray North Station,,0,1072851,198666,1,1
27614,2,4392557,Murray North Station,,0,1072852,198666,1,1
27614,2,4392552,Murray North Station,,0,1072849,198666,1,1
27614,2,4392550,Murray North Station,,0,1072850,198666,1,1
27614,2,4392545,Murray North Station,,0,1072851,198666,1,1
27614,2,4392560,Murray North Station,,0,1072852,198666,1,1
27614,2,4392564,Murray North Station,,0,1072849,198666,1,1
27614,2,4392542,Murray North Station,,0,1072850,198666,1,1
27614,2,4392555,Murray North Station,,0,1072851,198666,1,1
27614,2,4392562,Murray North Station,,0,1072852,198666,1,1
27614,2,4392548,Murray North Station,,0,1072849,198666,1,1
27614,2,4392556,Murray North Station,,0,1072850,198666,1,1
27614,2,4392568,Murray North Station,,0,1072851,198666,1,1
27614,2,4392549,Murray North Station,,0,1072852,198666,1,1
27614,2,4392551,Murray North Station,,0,1072849,198666,1,1
27614,2,4392559,Murray North Station,,0,1072850,198666,1,1
27614,2,4392547,Murray North Station,,0,1072851,198666,1,1
27614,2,4392543,Murray North Station,,0,1072852,198666,1,1
27614,2,4392566,Murray North Station,,0,1072849,198666,1,1
27614,2,4392561,Murray North Station,,0,1072850,198666,1,1
27614,2,4392553,Murray North Station,,0,1072851,198666,1,1
27614,2,4392558,Murray North Station,,0,1072852,198666,1,1
27614,2,4392544,Murray North Station,,0,1072849,198666,1,1
27614,2,4392565,Murray North Station,,0,1072851,198666,1,1
27614,2,4392554,Murray North Station,,0,1072849,198666,1,1
27614,2,4392597,Salt Lake Central Station,,1,1072849,198667,1,1
27614,2,4392593,Salt Lake Central Station,,1,1072850,198667,1,1
27614,2,4392588,Salt Lake Central Station,,1,1072851,198667,1,1
27614,2,4392580,Salt Lake Central Station,,1,1072852,198667,1,1
27614,2,4392569,Salt Lake Central Station,,1,1072849,198667,1,1
27614,2,4392574,Salt Lake Central Station,,1,1072850,198667,1,1
27614,2,4392590,Salt Lake Central Station,,1,1072851,198667,1,1
27614,2,4392595,Salt Lake Central Station,,1,1072852,198667,1,1
27614,2,4392585,Salt Lake Central Station,,1,1072849,198667,1,1
27614,2,4392581,Salt Lake Central Station,,1,1072850,198667,1,1
27614,2,4392578,Salt Lake Central Station,,1,1072851,198667,1,1
27614,2,4392573,Salt Lake Central Station,,1,1072852,198667,1,1
27614,2,4392587,Salt Lake Central Station,,1,1072849,198667,1,1
27614,2,4392591,Salt Lake Central Station,,1,1072850,198667,1,1
27614,2,4392570,Salt Lake Central Station,,1,1072851,198667,1,1
27614,2,4392583,Salt Lake Central Station,,1,1072852,198667,1,1
27614,2,4392589,Salt Lake Central Station,,1,1072849,198667,1,1
27614,2,4392576,Salt Lake Central Station,,1,1072850,198667,1,1
27614,2,4392584,Salt Lake Central Station,,1,1072851,198667,1,1
27614,2,4392596,Salt Lake Central Station,,1,1072852,198667,1,1
27614,2,4392577,Salt Lake Central Station,,1,1072849,198667,1,1
27614,2,4392579,Salt Lake Central Station,,1,1072850,198667,1,1
27614,2,4392586,Salt Lake Central Station,,1,1072851,198667,1,1
27614,2,4392575,Salt Lake Central Station,,1,1072852,198667,1,1
27614,2,4392571,Salt Lake Central Station,,1,1072849,198667,1,1
27614,2,4392594,Salt Lake Central Station,,1,1072850,198667,1,1
27614,2,4392582,Salt Lake Central Station,,1,1072851,198667,1,1
27614,2,4392572,Salt Lake Central Station,,1,1072849,198667,1,1
27614,2,4392592,Salt Lake Central Station,,1,1072851,198667,1,1
34504,2,4417221,Jordan Valley Station,,0,1072450,198670,1,1
34504,2,4392685,Jordan Valley Station,,0,1072451,198670,1,1
34504,2,4392678,Jordan Valley Station,,0,1069301,198670,1,1
34504,2,4392680,Jordan Valley Station,,0,1069292,198670,1,1
34504,2,4392689,Jordan Valley Station,,0,1069300,198670,1,1
34504,2,4392683,Jordan Valley Station,,0,1072450,198670,1,1
34504,2,4392679,Jordan Valley Station,,0,1072451,198670,1,1
34504,2,4392682,Jordan Valley Station,,0,1069301,198670,1,1
34504,2,4392688,Jordan Valley Station,,0,1069292,198670,1,1
34504,2,4392684,Jordan Valley Station,,0,1069300,198670,1,1
34504,2,4392677,Jordan Valley Station,,0,1072450,198670,1,1
34504,2,4392681,Jordan Valley Station,,0,1072451,198670,1,1
34504,2,4392687,Jordan Valley Station,,0,1069301,198670,1,1
34504,2,4392686,Jordan Valley Station,,0,1069292,198670,1,1
34504,2,4417222,Jordan Valley Station,,0,1069300,198670,1,1
34504,2,4417223,Jordan Valley Station,,0,1072450,198670,1,1
34504,2,4417224,West Valley Central Station,,1,1069300,198671,1,1
34504,2,4419762,West Valley Central Station,,1,1072450,198672,1,1
34504,2,4392702,West Valley Central Station,,1,1072450,198671,1,1
34504,2,4419763,West Valley Central Station,,1,1072451,198672,1,1
34504,2,4392698,West Valley Central Station,,1,1072451,198671,1,1
34504,2,4419764,West Valley Central Station,,1,1069301,198672,1,1
34504,2,4392691,West Valley Central Station,,1,1069301,198671,1,1
34504,2,4419765,West Valley Central Station,,1,1069292,198672,1,1
