"","Origin","Destination","auto","transit","bike","walk","others","Total_flows","X_Org","Y_Org","X_Dest","Y_Dest","status","in-vehicleTime","waitingTime","transfers","accessTime"
"1",1128.04,1128.15,50,0,0,0,0,50,-111.862777239,40.5515369657,-111.796918933,40.5295233107,"OK",0,0,0,104.85
"2",1128.04,1130.14,0,0,0,0,0,0,-111.862777239,40.5515369657,-111.948468112,40.5308388373,"OK",53.12,12.23,1,43.5
"3",1128.04,1130.12,0,0,0,0,0,0,-111.862777239,40.5515369657,-111.920766871,40.5589868638,"OK",57.05,12.23,1,17.57
"4",1128.04,1130.2,0,0,0,0,0,0,-111.862777239,40.5515369657,-111.99405361,40.5515488547,"OK",56.93,49.43,3,21.67
"5",1128.04,1131.05,0,0,0,0,0,0,-111.862777239,40.5515369657,-112.117993088,40.525950728,"OK",56.48,95.2,3,188.97
"6",1128.04,1130.17,0,0,0,0,0,0,-111.862777239,40.5515369657,-111.948248678,40.5113921689,"OK",65.92,89.2,3,16.45
"7",1128.04,1128.16,40,0,0,0,0,40,-111.862777239,40.5515369657,-111.869461932,40.5058173534,"OK",11.37,0.03,0,29.63
"8",1128.04,1128.23,100,0,0,0,0,100,-111.862777239,40.5515369657,-111.880345644,40.5350877531,"OK",16.6,16.98,1,16.15
"9",1128.04,1128.19,50,0,0,0,0,50,-111.862777239,40.5515369657,-111.880069626,40.5140635727,"OK",12.7,0.03,0,26.25
"10",1128.04,1130.11,50,0,0,0,0,50,-111.862777239,40.5515369657,-111.94344956,40.5508508861,"OK",55.67,12.23,1,23.32
"11",1128.04,1128.18,20,0,0,0,0,20,-111.862777239,40.5515369657,-111.901426578,40.4952724011,"OK",35.6,11.27,1,61.57
"12",1128.04,1128.22,80,20,0,0,0,100,-111.862777239,40.5515369657,-111.881538572,40.5515553247,"OK",0,0,0,20.28
"13",1128.04,1151.06,8,0,0,0,0,8,-111.862777239,40.5515369657,-112.004628549,40.4599044577,"OK",74.22,89.2,3,69.9
"14",1128.04,1128.17,320,0,0,0,10,330,-111.862777239,40.5515369657,-111.905268914,40.5305236091,"OK",29.4,11.27,1,23
"15",1128.04,1146,30,0,0,0,0,30,-111.862777239,40.5515369657,-111.927991851,40.5189579801,"OK",35.6,11.27,1,43.88
"16",1128.04,1128.2,70,0,0,0,0,70,-111.862777239,40.5515369657,-111.879865905,40.4794072388,"OK",11.37,0.03,0,88.52
"17",1128.04,1130.16,0,0,0,0,0,0,-111.862777239,40.5515369657,-111.975449825,40.5114696296,"OK",66.58,49.43,3,10.17
"18",1128.04,1128.21,20,0,0,0,0,20,-111.862777239,40.5515369657,-111.841314748,40.4979086579,"OK",19.6,16.98,1,61.98
"19",1128.04,1130.19,40,0,0,0,0,40,-111.862777239,40.5515369657,-111.969767252,40.549554591,"OK",61.8,49.43,3,26.72
"20",1128.04,1152.09,20,0,0,0,0,20,-111.862777239,40.5515369657,-112.034044038,40.5615932734,"OK",46.6,39.77,2,24.85
"21",1128.04,1128.1,0,0,0,0,0,0,-111.862777239,40.5515369657,-111.939987654,40.4779393131,"OK",35.6,11.27,1,95.22
"22",1128.04,1128.04,80,0,0,0,195,275,-111.862777239,40.5515369657,-111.862777239,40.5515369657,"409",NA,NA,NA,NA
"23",1128.04,1130.13,20,0,0,0,0,20,-111.862777239,40.5515369657,-111.975436902,40.5295980976,"OK",64.58,49.43,3,19.9
"24",1128.04,1131.07,0,0,0,0,0,0,-111.862777239,40.5515369657,-112.019569271,40.5162767243,"OK",81.42,89.2,3,11.63
"25",1128.04,1128.05,80,0,0,0,0,80,-111.862777239,40.5515369657,-111.861369104,40.5357819585,"OK",5.83,0.03,0,3.6
"26",1128.05,1130.19,20,0,0,0,0,20,-111.861369104,40.5357819585,-111.969767252,40.549554591,"OK",51.97,39.45,2,36.42
"27",1128.05,1130.17,30,0,0,0,0,30,-111.861369104,40.5357819585,-111.948248678,40.5113921689,"OK",64.07,49.43,3,21.08
"28",1128.05,1130.12,0,0,0,0,0,0,-111.861369104,40.5357819585,-111.920766871,40.5589868638,"OK",48.45,20.43,1,36.37
"29",1128.05,1128.1,20,0,0,0,0,20,-111.861369104,40.5357819585,-111.939987654,40.4779393131,"OK",65.02,49.43,3,63.18
"30",1128.05,1128.17,380,0,0,0,0,380,-111.861369104,40.5357819585,-111.905268914,40.5305236091,"OK",10.25,0.03,0,34.05
"31",1128.05,1128.15,100,0,0,10,0,110,-111.861369104,40.5357819585,-111.796918933,40.5295233107,"OK",0,0,0,92.53
"32",1128.05,1128.18,0,0,0,0,0,0,-111.861369104,40.5357819585,-111.901426578,40.4952724011,"OK",45.97,14.57,1,82.9
"33",1128.05,1146,0,0,0,0,0,0,-111.861369104,40.5357819585,-111.927991851,40.5189579801,"OK",10.25,0.03,0,59.03
"34",1128.05,1128.19,170,0,0,0,0,170,-111.861369104,40.5357819585,-111.880069626,40.5140635727,"OK",6.87,0.03,0,29.05
"35",1128.05,1130.13,50,0,0,0,0,50,-111.861369104,40.5357819585,-111.975436902,40.5295980976,"OK",48.07,39.45,2,37.23
"36",1128.05,1128.21,65,0,0,0,0,65,-111.861369104,40.5357819585,-111.841314748,40.4979086579,"OK",0,0,0,79.47
"37",1128.05,1128.04,80,0,0,0,0,80,-111.861369104,40.5357819585,-111.862777239,40.5515369657,"OK",0,0,0,23.87
"38",1128.05,1128.2,30,0,0,0,0,30,-111.861369104,40.5357819585,-111.879865905,40.4794072388,"OK",0,0,0,107.32
"39",1128.05,1152.09,50,0,0,0,0,50,-111.861369104,40.5357819585,-112.034044038,40.5615932734,"OK",38,18.02,1,43.6
"40",1128.05,1130.16,40,0,0,0,0,40,-111.861369104,40.5357819585,-111.975449825,40.5114696296,"OK",54,52.45,2,27.08
"41",1128.05,1151.06,0,0,0,0,0,0,-111.861369104,40.5357819585,-112.004628549,40.4599044577,"OK",72.37,49.43,3,74.53
"42",1128.05,1128.05,208,0,0,15,165,388,-111.861369104,40.5357819585,-111.861369104,40.5357819585,"409",NA,NA,NA,NA
"43",1128.05,1131.07,0,0,0,0,0,0,-111.861369104,40.5357819585,-112.019569271,40.5162767243,"OK",48.78,28.45,2,60.32
"44",1128.05,1128.22,80,0,0,0,0,80,-111.861369104,40.5357819585,-111.881538572,40.5515553247,"OK",18.25,0.03,0,14.22
"45",1128.05,1128.23,60,0,0,0,0,60,-111.861369104,40.5357819585,-111.880345644,40.5350877531,"OK",0,0,0,32.53
"46",1128.05,1130.11,0,0,0,0,0,0,-111.861369104,40.5357819585,-111.94344956,40.5508508861,"OK",47.07,20.43,1,42.12
"47",1128.05,1131.05,20,0,0,0,0,20,-111.861369104,40.5357819585,-112.117993088,40.525950728,"OK",47.88,28.45,2,207.72
"48",1128.05,1128.16,50,0,0,0,0,50,-111.861369104,40.5357819585,-111.869461932,40.5058173534,"OK",0,0,0,48.43
"49",1128.05,1130.14,40,0,0,0,0,40,-111.861369104,40.5357819585,-111.948468112,40.5308388373,"OK",44.52,20.43,1,62.3
"50",1128.05,1130.2,20,0,0,0,0,20,-111.861369104,40.5357819585,-111.99405361,40.5515488547,"OK",61.43,39.45,2,27.07
"51",1128.1,1130.11,70,0,0,0,0,70,-111.939987654,40.4779393131,-111.94344956,40.5508508861,"OK",49.73,50.52,2,79.35
"52",1128.1,1128.19,80,0,0,0,0,80,-111.939987654,40.4779393131,-111.880069626,40.5140635727,"OK",71.98,51.67,3,85.67
"53",1128.1,1128.18,20,0,0,0,0,20,-111.939987654,40.4779393131,-111.901426578,40.4952724011,"OK",0,0,0,99.73
"54",1128.1,1130.2,70,0,0,0,0,70,-111.939987654,40.4779393131,-111.99405361,40.5515488547,"OK",19.08,0.03,0,72.72
